DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/SUPER_ETH_E85
99/76/2012/0.0/656288,2/3176538.0/458638.0/32812.0/274347.0/216081.0//
1/84/2012/0.0/75744,18/383875.0/74626.0/21946.0/29371.0///
3/84/2012/0.0/42066,78/218909.0/54121.0/2057.0/32035.0///
7/84/2012/0.0/34108,82/135488.0/25861.0/8799.0/3966.0///
15/84/2012/0.0/14978,34/79300.0/26803.0/10112.0/13251.0///
26/84/2012/0.0/74550,56/441699.0/68655.0/4497.0/27789.0///
38/84/2012/0.0/139410,1/632138.0/92228.0/17040.0/28089.0///
42/84/2012/0.0/76560,4/398606.0/276595.0/16312.0/88519.0///
43/84/2012/0.0/22473,06/124592.0/45822.0/3095.0/16167.0///
63/84/2012/0.0/79999,92/370854.0/77505.0/13549.0/33645.0///
69/84/2012/0.0/185009,6/920714.0/373574.0/23706.0/128754.0///
73/84/2012/0.0/58429,66/354784.0/61371.0/24729.0/17452.0///
74/84/2012/0.0/104079,5/441164.0/94467.0/3331.0/23155.0///
99/84/2012/0.0/907410,9/4502123.0/1271628.0/149173.0/442193.0/265531.0//
4/93/2012/0.0/23463,18/98614.0/23151.0/667.0/7249.0///
5/93/2012/0.0/19627,76/88131.0/34417.0/720.0/7346.0///
6/93/2012/0.0/191412,8/459314.0/94726.0/2546.0/22071.0///
13/93/2012/0.0/244204,4/1065453.0/170326.0/194938.0/74288.0///
83/93/2012/0.0/172044,1/551416.0/72016.0/2274.0/22990.0///
84/93/2012/0.0/79649,16/376099.0/67351.0/6173.0/21239.0///
99/93/2012/0.0/730401,5/2639027.0/461987.0/207318.0/155183.0/130086.0//
2A/94/2012/0.0/26168,62/66382.0/10017.0/0.0/5680.0///
2B/94/2012/0.0/32821,22/103605.0/43031.0/336.0/6215.0///
99/94/2012/0.0/58989,84/169987.0/53048.0/336.0/11895.0/31531.0//
99/99/2012///////12496.0//
FR/FR/2012/0.0/7127695/33543075.0/7632232.0/1014578.0/3972349.0/2105486.0/6312989,6/
75/11/2013/0.0/91137,66/196485.0/10437.0/26485.0/115698.0///
77/11/2013/0.0/163908,5/749397.0/94862.0/2337.0/31049.0///
78/11/2013/0.0/183383,8/604638.0/80341.0/594.0/14021.0///
91/11/2013/0.0/161011,4/560631.0/61404.0/502.0/17578.0///
