OPERATEUR;ANNEE;FILIERE ;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
GrDF;2017;G;InterCom;200040509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040574;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040590;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040681;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040715;0;0;0;0;0;0;0;0;0;842;47;0;0;0;260;5;0
GrDF;2017;G;InterCom;200040780;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200040863;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040947;0;0;0;0;0;0;0;0;0;243;12;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040947;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200040954;0;0;0;0;0;0;0;0;0;147;13;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041044;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041523;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200041572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041630;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041671;0;0;0;0;0;0;0;0;0;324;11;0;0;0;0;0;0
GrDF;2017;G;InterCom;200041689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041960;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200041960;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200041994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042000;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042141;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042372;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042414;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200042471;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200042497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363;2;0
GrDF;2017;G;InterCom;200042513;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042604;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200042646;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042703;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200042729;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200042984;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043065;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043123;0;0;0;0;0;0;0;0;0;127;14;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043156;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200043172;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;234;3;0
GrDF;2017;G;InterCom;200043255;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043354;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200043370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043388;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200043396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243;3;0
GrDF;2017;G;InterCom;200043404;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043487;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043495;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043602;0;0;0;0;0;0;0;0;0;95;19;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043982;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200043990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044014;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044055;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200044618;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200046977;0;0;0;0;0;0;0;0;0;993;42;0;0;0;1826;21;0
GrDF;2017;G;InterCom;200048775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200049187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200054781;0;0;0;0;0;0;0;0;0;4956;284;0;0;0;7017;74;0
GrDF;2017;G;InterCom;200054781;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200054807;0;0;0;0;0;0;0;0;0;1382;124;0;0;0;1010;13;0
GrDF;2017;G;InterCom;200054807;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200055655;0;0;0;0;0;0;0;0;0;370;15;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200055887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200056232;0;0;0;0;0;0;0;0;0;308;20;0;0;0;447;4;0
GrDF;2017;G;InterCom;200056232;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
